"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Biblioteca Historica Santa Cruz","http://uvadoc.uva.es/handle/10324/150 Digitized manuscripts","Unknown","no","Attribution 4.0 International (CC BY 4.0)","yes","Spain","Valladolid","41.651668","-4.720905","Explore","No post available","0"
"Teylers Museum","http://www.teylersmuseum.nl/nl/collectie/boeken/ms-078-horae-romanae-briconnet-heures-jean-poyer Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Netherlands","Haarlem","52.380622","4.640057","Explore","No post available","0"
"Pius XII Memorial Library, Special Collections","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=44&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","St. Louis","38.636763","-90.235025","Explore","No post available","1"
"National Library of Ireland","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/NLI/english/index.html?ref= Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Ireland","Dublin","53.341098","-6.254482","Explore","No post available","0"
"Convento della Madonna del Sasso","https://www.e-codices.unifr.ch/en/list/oms Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Orselina","46.175795","8.79331","Explore","No post available","0"
"University of Pittsburgh, Hillman Library, Special Collections","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=36&docsPerPage=30 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","Pittsburgh","40.442603","-79.954156","Explore","No post available","1"
"Státní okresní archiv Strakonice","https://digi.ceskearchivy.cz/Books-SDA-Strakonice Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Czech Republic","Strakonice","49.26587","13.90515","Explore","No post available","0"
"Archives du Chapitre/Kapitelsarchiv","https://www.e-codices.unifr.ch/en/list/acs Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Sion / Sitten","46.233372","7.358321","Explore","No post available","0"
"Rutgers, The State University of New Jersey, Special Collections and University Archives","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=Rutgers%2C+The+State+University+of+New+Jersey Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","United States of America","New Brunswick","40.503858","-74.452933","Explore","No post available","0"
"Gemeindearchiv","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=Kirchdorf Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Austria","Kirchdorf","47.5918675","12.1122624","Explore","No post available","0"
"Staatsarchiv","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Solothurn%2C+Staatsarchiv Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Solothurn","47.20944","7.530521","Explore","No post available","0"
"University of Canterbury","http://www.canterbury.ac.nz/canterburyroll Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","New Zealand","Christchurch","-43.523537","172.583921","Explore","No post available","0"
"Aargauer Kantonsbibliothek","https://www.e-codices.unifr.ch/en/list/kba Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Aarau","47.388955","8.045077","Explore","No post available","0"
"Dokumentationsstelle Oberer Zürichsee","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=W%C3%A4denswil%2C+Dokumentationsstelle+Oberer+Z%C3%BCrichsee Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Wädenswil","47.229687","8.671819","Explore","No post available","0"
